"";"FranjaHoraria";"Dia";"Malo";"PrimerCredito";"MedioOrigen";"Sexo";"Edad";"EstadoCivil";"Region";"TipoConvenio";"RubroLaboral";"DeudaTC";"DeudaTC_cat";"AtrasoTC";"LimiteUtilizadoTC";"EstadoCuentaTC";"CantAtraso1mTC";"CantAtraso3mTC";"MaximoAtrasoTC";"TieneTC";"CapitalPrestado";"Cuotas";"MontoCuota";"MontoTotal";"ProgramaFidelidad";"PeorCalificacionBCU";"PeorCalificacionBCU_cat";"MejorCalificacionBCU";"MejorCalificacionBCU_cat";"PromedioCalificacionBCU";"DeudaVigenteBCU";"ContingenciasBCU";"PrevisionesBCU";"DeudaMorosaBCU";"DeudaCastigadaBCU";"CantidadInstitucionesBCU";"FueDenegadoAnteriormente";"DiasUltDenegacion";"ContOutBoundCobranza";"ContactosInBound";"DeudaCreditos";"CantCredAtraso0";"CantCredAtrasoMedio";"CantCredAtrasoMayor";"CantCuotasAtraso";"CantCuotasAbiertas";"MontoCreditosAbiertos";"MontoAPagarMensual"
"106";"Horas-Casa";"Lunes";"1";"Nuevo";"Web";"Hombre";61;"Casado";"Sin Identificar";"Sin Convenio";"JubiladosYPensionistas";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"1C";"1C";"1C";"1C";1;10897,3042436041;0,16455373007616;54,4858259205697;0;0;1;"0";0;0;0;0;0;0;0;0;0;0;0
"107";"Horas-Casa";"Lunes";"1";"Nuevo";"Web";"Mujer";46;"Soltero";"DptoNoroeste";"Sin Convenio";"Otros";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"0";"NoTiene";"0";"NoTiene";0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;0;0;0
"108";"Horas-Trabajo";"Viernes";"1";"Nuevo";"Web";"Hombre";34;"Casado";"Sin Identificar";"Sin Convenio";"JubiladosYPensionistas";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;10;466,38757056078;4663,87452414533;"0";"0";"NoTiene";"0";"NoTiene";0;0;0;0;0;0;0;"1";687;0;0;0;0;0;0;0;0;0;0
"109";"Horas-Trabajo";"Viernes";"1";"Nuevo";"Web";"Mujer";42;"Viudo";"Sin Identificar";"Sin Convenio";"JubiladosYPensionistas";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"5";"Otros";"3";"Otros";5;23774,2802486931;0;5383,25244355856;364,799395971656;1111,91968368082;3;"1";703;0;0;0;0;0;0;0;0;0;0
"110";"Horas-Trabajo";"Viernes";"0";"Nuevo";"Web";"Hombre";39;"Casado";"Sin Identificar";"Sin Convenio";"Otros";-0,183094995436854;"Sin deudas";0;110,23;"Activa";0;0;0;"1";2317,65817008676;11;369,337417067116;4062,71107735555;"0";"5";"Otros";"3";"Otros";5;1325,65412012623;0;225,362127484726;0;1193,23703823649;2;"1";101;0;0;0;0;0;0;0;0;0;0
"111";"Horas-Trabajo";"Viernes";"1";"Nuevo";"Web";"Hombre";27;"Casado";"MVDEste";"Sin Convenio";"Construccion";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2317,65817008676;7;488,472261399631;3419,30599275776;"0";"5";"Otros";"3";"Otros";4;3613,93829056531;15634,8965211654;9850,70312013087;1239,88686188399;0;3;"1";371;0;0;0;0;0;0;0;0;0;0
"112";"Horas-Trabajo";"Viernes";"0";"Nuevo";"WhatsappBotTelefonoSMS";"Mujer";50;"Casado";"MVDNoroeste";"Sin Convenio";"ServiciosVarios";-0,104294617653904;"Sin deudas";0;51,25;"Activa";0;0;0;"1";2317,65817008676;11;369,337417067116;4062,71107735555;"0";"5";"Otros";"3";"Otros";4;42395,1641205042;2893,93460344615;24202,8175620003;0;0;5;"0";0;0;1;0;0;0;0;0;0;0;0
"113";"Horas-Trabajo";"Jueves";"1";"Nuevo";"Web";"Hombre";31;"Casado";"Sin Identificar";"Alianza";"ServiciosVarios";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";2781,18980410411;11;441,366424927132;4855,03033469775;"0";"0";"NoTiene";"0";"NoTiene";0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;0;0;0
"114";"Horas-Trabajo";"Jueves";"1";"Nuevo";"Web";"Hombre";40;"Otros";"MVDCentrosur";"Sin Convenio";"Educacion";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";1390,59490205206;11;225,279302326044;2478,07256267115;"0";"2A";"Otros";"2A";"Otros";2;31075,2325919266;1862,5025526961;494,066780408245;0;0;1;"1";96;0;0;0;0;0;0;0;0;0;0
"115";"Horas-Trabajo";"Jueves";"1";"Nuevo";"Web";"Hombre";68;"Casado";"Sin Identificar";"Sin Convenio";"JubiladosYPensionistas";0;"Sin Passcard";0;0;"Sin Passcard";0;0;0;"0";1854,12653606941;7;392,776659149467;2749,43556951575;"0";"2B";"Otros";"1C";"1C";1;18894,9817152964;0;120,800979141262;0;0;5;"1";70;0;0;0;0;0;0;0;0;0;0
